"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Cristian Romero","TOT","D","aj","Reserve","Active","Sun Apr 28, 2024, 10:27AM","36"
"Taiwo Awoniyi","NOT","F","tj","Reserve","Active","Sun Apr 28, 2024, 8:26AM","35"
"Jeremy Doku","MCI","F","tj","Active","Reserve","Sun Apr 28, 2024, 8:26AM","35"
"Taiwo Awoniyi","NOT","F","tj","Active","Reserve","Sun Apr 28, 2024, 8:26AM","35"
"Jeremy Doku","MCI","F","tj","Reserve","Active","Sun Apr 28, 2024, 8:26AM","35"
"Joao Pedro","BHA","F","vu","Reserve","Active","Sun Apr 28, 2024, 5:05AM","35"
"Brennan Johnson","NOT/TOT","F","vu","Active","Reserve","Sun Apr 28, 2024, 5:05AM","35"
"Ben White","ARS","D","vu","Active","Reserve","Sun Apr 28, 2024, 1:50AM","35"
"Marcos Senesi","BOU","D","vu","Reserve","Active","Sun Apr 28, 2024, 1:50AM","35"
"Taiwo Awoniyi","NOT","F","tj","Reserve","Active","Sat Apr 27, 2024, 6:27AM","35"
"Rodrigo Muniz","FUL","F","tj","Active","Reserve","Sat Apr 27, 2024, 6:27AM","35"
"Taiwo Awoniyi","NOT","F","tj","Active","Reserve","Sat Apr 27, 2024, 6:27AM","35"
"Rodrigo Muniz","FUL","F","tj","Reserve","Active","Sat Apr 27, 2024, 6:27AM","35"
"Sean Longstaff","NEW","M","katabe","Reserve","Active","Sat Apr 27, 2024, 6:19AM","35"
"Jordan Ayew","CRY","F","katabe","Active","Reserve","Sat Apr 27, 2024, 6:19AM","35"
"Romeo Lavia","SOU/CHE","M","vu","Reserve","Active","Sat Apr 27, 2024, 6:19AM","35"
"Marcos Senesi","BOU","D","vu","Active","Reserve","Sat Apr 27, 2024, 6:19AM","35"
"Lewis Hall","CHE/NEW","D","tj","Reserve","Active","Sat Apr 27, 2024, 6:09AM","35"
"Kieran Trippier","NEW","D","tj","Active","Reserve","Sat Apr 27, 2024, 6:09AM","35"
"Timothy Castagne","LEI/FUL","D","katabe","Reserve","Active","Sat Apr 27, 2024, 4:50AM","35"
"Vitalii Mykolenko","EVE","D","katabe","Active","Inj Res","Sat Apr 27, 2024, 4:48AM","35"
"Simon Adingra","BHA","F","katabe","Reserve","Active","Sat Apr 27, 2024, 4:36AM","35"
"Mario Lemina","WOL","M","katabe","Reserve","Active","Sat Apr 27, 2024, 4:36AM","35"
"Sandro Tonali","NEW","M","mg","Reserve","Active","Fri Apr 26, 2024, 9:54PM","35"
"Antoine Semenyo","BOU","F","mg","Active","Reserve","Fri Apr 26, 2024, 9:54PM","35"
"Alex Iwobi","EVE/FUL","M","mg","Active","Reserve","Fri Apr 26, 2024, 8:48PM","35"
"Marcus Tavernier","BOU","M","mg","Reserve","Active","Fri Apr 26, 2024, 8:48PM","35"
"Boubacar Kamara","AVL","M","mg","Active","Inj Res","Fri Apr 26, 2024, 8:48PM","35"
"Pedro Porro","TOT","D","mg","Inj Res","Active","Fri Apr 26, 2024, 8:48PM","35"
"Moises Caicedo","BHA/CHE","M","sean","Reserve","Active","Fri Apr 26, 2024, 6:13PM","35"
"John McGinn","AVL","M","sean","Active","Reserve","Fri Apr 26, 2024, 6:13PM","35"
"Ben Davies","TOT","D","mg","Active","Reserve","Fri Apr 26, 2024, 6:11PM","35"
"Virgil van Dijk","LIV","D","mg","Active","Reserve","Fri Apr 26, 2024, 6:10PM","35"
"Ben Davies","TOT","D","mg","Reserve","Active","Fri Apr 26, 2024, 6:10PM","35"
"Ben Davies","TOT","D","mg","Active","Reserve","Fri Apr 26, 2024, 6:10PM","35"
"Antoine Semenyo","BOU","F","mg","Reserve","Active","Fri Apr 26, 2024, 6:10PM","35"
"Ben Davies","TOT","D","mg","Reserve","Active","Fri Apr 26, 2024, 5:39PM","35"
"Chris Richards","CRY","D","mg","Active","Reserve","Fri Apr 26, 2024, 5:39PM","35"
"David Raya","BRF/ARS","G","ben","Active","Reserve","Fri Apr 26, 2024, 9:52AM","35"
"Guglielmo Vicario","TOT","G","ben","Reserve","Active","Fri Apr 26, 2024, 9:52AM","35"
"Emerson","WHU","D","ben","Active","Reserve","Fri Apr 26, 2024, 9:52AM","35"
"Timo Werner","CHE/TOT","F","ben","Reserve","Active","Fri Apr 26, 2024, 9:52AM","35"
"Destiny Udogie","TOT","D","ben","Reserve","Active","Fri Apr 26, 2024, 9:52AM","35"
"Lewis Cook","BOU","M","ben","Active","Reserve","Fri Apr 26, 2024, 9:52AM","35"
"Emerson Royal","TOT","D","tj","Active","Reserve","Fri Apr 26, 2024, 7:06AM","35"
"Axel Disasi","CHE","D","tj","Reserve","Active","Fri Apr 26, 2024, 7:06AM","35"
"Emil Krafth","NEW","D","vu","Reserve","Active","Fri Apr 26, 2024, 7:03AM","35"
"Pablo Sarabia","WOL","M","vu","Active","Reserve","Fri Apr 26, 2024, 7:03AM","35"
"Cole Palmer","MCI/CHE","M","vu","Reserve","Active","Thu Apr 25, 2024, 11:34PM","35"
"James Ward-Prowse","SOU/WHU","M","vu","Active","Reserve","Thu Apr 25, 2024, 11:34PM","35"
"Jarrod Bowen","WHU","M","rafa","Active","Reserve","Thu Apr 25, 2024, 11:12PM","35"
"Manuel Akanji","MCI","D","rafa","Reserve","Active","Thu Apr 25, 2024, 11:12PM","35"
"Tyrick Mitchell","CRY","D","rafa","Active","Reserve","Thu Apr 25, 2024, 11:11PM","35"
"Jarrod Bowen","WHU","M","rafa","Reserve","Active","Thu Apr 25, 2024, 11:11PM","35"
"Dan Burn","NEW","D","rafa","Reserve","Active","Thu Apr 25, 2024, 11:11PM","35"
"Jack Grealish","MCI","M","rafa","Active","Reserve","Thu Apr 25, 2024, 11:11PM","35"
"Anthony Elanga","NOT","F","aj","Active","Reserve","Thu Apr 25, 2024, 9:07PM","35"
"James Maddison","TOT","M","aj","Reserve","Active","Thu Apr 25, 2024, 9:07PM","35"
"Diogo Jota","LIV","F","mg","Reserve","Active","Thu Apr 25, 2024, 3:56PM","34"
"Anthony Martial","MUN","F","mg","Active","Reserve","Thu Apr 25, 2024, 3:56PM","34"
"Harry Maguire","MUN","D","mg","Reserve","Active","Thu Apr 25, 2024, 3:56PM","34"
"Ben Davies","TOT","D","mg","Active","Reserve","Thu Apr 25, 2024, 3:56PM","34"
"Cole Palmer","MCI/CHE","M","vu","Active","Reserve","Thu Apr 25, 2024, 3:56PM","34"
"James Ward-Prowse","SOU/WHU","M","vu","Reserve","Active","Thu Apr 25, 2024, 3:56PM","34"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Thu Apr 25, 2024, 3:56PM","34"
"Son Heung-Min","TOT","F","tj","Active","Reserve","Thu Apr 25, 2024, 3:56PM","34"
"Emerson","WHU","D","ben","Reserve","Active","Thu Apr 25, 2024, 3:56PM","34"
"Marcus Rashford","MUN","F","ben","Active","Reserve","Thu Apr 25, 2024, 3:56PM","34"
"Jack Grealish","MCI","M","rafa","Reserve","Active","Thu Apr 25, 2024, 3:56PM","34"
"Jarrod Bowen","WHU","M","rafa","Active","Reserve","Thu Apr 25, 2024, 3:56PM","34"
"Ivan Toney","BRF","F","vu","Reserve","Active","Thu Apr 25, 2024, 2:18PM","35"
"Jean-Philippe Mateta","CRY","F","vu","Active","Reserve","Thu Apr 25, 2024, 2:18PM","35"
"Giovani Lo Celso","TOT","M","vu","Active","Reserve","Thu Apr 25, 2024, 2:14PM","35"
"Pablo Sarabia","WOL","M","vu","Reserve","Active","Thu Apr 25, 2024, 2:14PM","35"
"Joao Pedro","BHA","F","vu","Active","Reserve","Thu Apr 25, 2024, 2:13PM","35"
"Brennan Johnson","NOT/TOT","F","vu","Reserve","Active","Thu Apr 25, 2024, 2:13PM","35"
"Pablo Sarabia","WOL","M","vu","Active","Reserve","Thu Apr 25, 2024, 2:11PM","35"
"Mykhailo Mudryk","CHE","M","vu","Reserve","Active","Thu Apr 25, 2024, 2:11PM","35"
"Ashley Young","EVE","D","vu","Active","Reserve","Thu Apr 25, 2024, 2:10PM","35"
"Marc Cucurella","CHE","D","vu","Reserve","Active","Thu Apr 25, 2024, 2:10PM","35"
"Mohammed Kudus","WHU","M","tj","Active","Reserve","Thu Apr 25, 2024, 2:04PM","35"
"Emerson Royal","TOT","D","tj","Reserve","Active","Thu Apr 25, 2024, 2:04PM","35"
"Kristoffer Ajer","BRF","D","sean","Reserve","Active","Thu Apr 25, 2024, 12:32PM","35"
"Chris Wood","NOT","F","sean","Active","Reserve","Thu Apr 25, 2024, 12:32PM","35"
"Tomas Soucek","WHU","M","sean","Active","Reserve","Thu Apr 25, 2024, 12:32PM","35"
"Jacob Bruun Larsen","BUR","F","sean","Reserve","Active","Thu Apr 25, 2024, 12:32PM","35"
"Mohamed Salah","LIV","F","sean","Active","Reserve","Thu Apr 25, 2024, 12:32PM","35"
"Dejan Kulusevski","TOT","M","sean","Reserve","Active","Thu Apr 25, 2024, 12:32PM","35"
"Pedro Porro","TOT","D","mg","Active","Inj Res","Thu Apr 25, 2024, 11:31AM","35"
"Chris Richards","CRY","D","mg","Reserve","Active","Thu Apr 25, 2024, 11:31AM","35"
"Anthony Martial","MUN","F","mg","Inj Res","Reserve","Thu Apr 25, 2024, 11:31AM","35"
"Ben Godfrey","EVE","D","tj","Reserve","Active","Thu Apr 25, 2024, 11:25AM","35"
"Enzo Fernandez","CHE","M","tj","Active","Reserve","Thu Apr 25, 2024, 11:25AM","35"
"Son Heung-Min","TOT","F","tj","Reserve","Active","Thu Apr 25, 2024, 11:24AM","34"
"Jeremy Doku","MCI","F","tj","Active","Reserve","Thu Apr 25, 2024, 11:24AM","34"
"Son Heung-Min","TOT","F","tj","Active","Reserve","Thu Apr 25, 2024, 11:24AM","34"
"Jeremy Doku","MCI","F","tj","Reserve","Active","Thu Apr 25, 2024, 11:24AM","34"
"Harry Maguire","MUN","D","mg","Reserve","Active","Thu Apr 25, 2024, 11:23AM","35"
"Tosin Adarabioyo","FUL","D","mg","Active","Reserve","Thu Apr 25, 2024, 11:23AM","35"
"Pedro Porro","TOT","D","mg","Reserve","Active","Thu Apr 25, 2024, 11:23AM","35"
"Rayan Ait-Nouri","WOL","D","mg","Reserve","Active","Thu Apr 25, 2024, 11:23AM","35"
"Chris Richards","CRY","D","mg","Active","Reserve","Thu Apr 25, 2024, 11:23AM","35"
"Ben Davies","TOT","D","mg","Active","Reserve","Thu Apr 25, 2024, 11:23AM","35"
"Anthony Martial","MUN","F","mg","Reserve","Inj Res","Thu Apr 25, 2024, 11:22AM","35"
"Pedro Porro","TOT","D","mg","Inj Res","Reserve","Thu Apr 25, 2024, 11:22AM","35"
"Tomas Soucek","WHU","M","sean","Reserve","Active","Thu Apr 25, 2024, 9:00AM","35"
"Justin Kluivert","BOU","M","sean","Active","Reserve","Thu Apr 25, 2024, 9:00AM","35"
"Ryan Christie","BOU","M","sean","Reserve","Active","Thu Apr 25, 2024, 9:00AM","35"
"Adam Wharton","CRY","M","sean","Active","Reserve","Thu Apr 25, 2024, 9:00AM","35"
"Dominik Szoboszlai","LIV","M","tj","Active","Reserve","Wed Apr 24, 2024, 3:07PM","35"
"Harvey Barnes","NEW","M","tj","Reserve","Active","Wed Apr 24, 2024, 3:07PM","35"
"Enzo Fernandez","CHE","M","tj","Reserve","Active","Wed Apr 24, 2024, 3:07PM","35"
"Abdoulaye Doucoure","EVE","M","tj","Active","Reserve","Wed Apr 24, 2024, 3:07PM","35"
"Enzo Fernandez","CHE","M","tj","Inj Res","Reserve","Wed Apr 24, 2024, 3:07PM","35"
"Cody Gakpo","LIV","F","tj","Reserve","Inj Res","Wed Apr 24, 2024, 3:07PM","35"
"Anthony Martial","MUN","F","mg","Active","Reserve","Tue Apr 23, 2024, 8:30PM","35"
"Nicolas Jackson","CHE","F","mg","Reserve","Active","Tue Apr 23, 2024, 8:30PM","35"
"Brennan Johnson","NOT/TOT","F","vu","Active","Reserve","Tue Apr 23, 2024, 1:31PM","34"
"Joao Pedro","BHA","F","vu","Reserve","Active","Tue Apr 23, 2024, 1:31PM","34"
"Ben Chilwell","CHE","D","vu","Inj Res","Reserve","Mon Apr 22, 2024, 7:57AM","34"
"Malo Gusto","CHE","D","vu","Reserve","Inj Res","Mon Apr 22, 2024, 7:57AM","34"
"Micky van de Ven","TOT","D","sean","Reserve","Active","Sun Apr 21, 2024, 10:29AM","35"
"Micky van de Ven","TOT","D","sean","Active","Reserve","Sun Apr 21, 2024, 10:28AM","34"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Sun Apr 21, 2024, 10:28AM","34"
"Milos Kerkez","BOU","D","tj","Active","Reserve","Sun Apr 21, 2024, 8:25AM","35"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Sun Apr 21, 2024, 8:25AM","35"
"Kieran Trippier","NEW","D","tj","Reserve","Active","Sun Apr 21, 2024, 8:25AM","35"
"Rodrigo Muniz","FUL","F","tj","Active","Reserve","Sun Apr 21, 2024, 8:23AM","34"
"Son Heung-Min","TOT","F","tj","Reserve","Active","Sun Apr 21, 2024, 8:23AM","34"
"Son Heung-Min","TOT","F","tj","Active","Reserve","Sun Apr 21, 2024, 8:23AM","34"
"Rodrigo Muniz","FUL","F","tj","Reserve","Active","Sun Apr 21, 2024, 8:23AM","34"
"Chris Richards","CRY","D","mg","Reserve","Active","Sun Apr 21, 2024, 6:53AM","34"
"Antoine Semenyo","BOU","F","mg","Active","Reserve","Sun Apr 21, 2024, 6:53AM","34"
"Amadou Onana","EVE","M","katabe","Reserve","Active","Sat Apr 20, 2024, 11:16PM","34"
"Kieran Trippier","NEW","D","tj","Active","Reserve","Sat Apr 20, 2024, 11:11PM","34"
"Mohammed Kudus","WHU","M","tj","Reserve","Active","Sat Apr 20, 2024, 11:11PM","34"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Sat Apr 20, 2024, 12:46PM","35"
"Adam Wharton","CRY","M","sean","Reserve","Active","Sat Apr 20, 2024, 12:46PM","35"
"Chris Wood","NOT","F","sean","Reserve","Active","Sat Apr 20, 2024, 12:46PM","35"
"Oliver McBurnie","SHU","F","sean","Active","Reserve","Sat Apr 20, 2024, 12:46PM","35"
"Jakub Kiwior","ARS","D","sean","Active","Reserve","Sat Apr 20, 2024, 12:46PM","35"
"Julian Alvarez","MCI","F","sean","Active","Reserve","Sat Apr 20, 2024, 11:16AM","34"
"Micky van de Ven","TOT","D","sean","Reserve","Active","Sat Apr 20, 2024, 11:16AM","34"
"Gabriel Martinelli","ARS","M","katabe","Active","Reserve","Sat Apr 20, 2024, 11:16AM","34"
"Mario Lemina","WOL","M","katabe","Active","Reserve","Sat Apr 20, 2024, 11:16AM","34"
"Micky van de Ven","TOT","D","sean","Active","Reserve","Sat Apr 20, 2024, 11:10AM","34"
"Jakub Kiwior","ARS","D","sean","Reserve","Active","Sat Apr 20, 2024, 11:10AM","34"
"Nicolas Jackson","CHE","F","katabe","Active","Reserve","Sat Apr 20, 2024, 7:30AM","34"
"Beto","EVE","F","katabe","Reserve","Active","Sat Apr 20, 2024, 7:30AM","34"
"Gabriel Martinelli","ARS","M","katabe","Reserve","Active","Sat Apr 20, 2024, 7:29AM","34"
"Rico Lewis","MCI","D","katabe","Active","Reserve","Sat Apr 20, 2024, 6:57AM","34"
"Pedro Porro","TOT","D","katabe","Active","Inj Res","Sat Apr 20, 2024, 6:57AM","34"
"Tosin Adarabioyo","FUL","D","katabe","Reserve","Active","Sat Apr 20, 2024, 6:57AM","34"
"Ivan Toney","BRF","F","vu","Active","Reserve","Sat Apr 20, 2024, 6:05AM","34"
"Dango Ouattara","BOU","F","vu","Reserve","Active","Sat Apr 20, 2024, 6:05AM","34"
"Pau Torres","AVL","D","zach","Active","Reserve","Fri Apr 19, 2024, 6:43PM","34"
"Oleksandr Zinchenko","ARS","D","zach","Reserve","Active","Fri Apr 19, 2024, 6:43PM","34"
"Dara O'Shea","BUR","D","sean","Active","Reserve","Fri Apr 19, 2024, 6:03PM","35"
"Chris Richards","CRY","D","mg","Active","Reserve","Fri Apr 19, 2024, 3:01PM","34"
"Ibrahima Konate","LIV","D","mg","Active","Reserve","Fri Apr 19, 2024, 3:01PM","34"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Reserve","Active","Fri Apr 19, 2024, 3:01PM","34"
"Antoine Semenyo","BOU","F","mg","Reserve","Active","Fri Apr 19, 2024, 3:01PM","34"
"Antoine Semenyo","BOU","F","mg","Active","Reserve","Fri Apr 19, 2024, 2:40PM","34"
"Chris Mepham","BOU","D","mg","Reserve","Active","Fri Apr 19, 2024, 2:40PM","34"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Fri Apr 19, 2024, 1:28PM","34"
"Rayan Ait-Nouri","WOL","D","mg","Active","Reserve","Fri Apr 19, 2024, 1:28PM","34"
"Vitalii Mykolenko","EVE","D","mg","Active","Reserve","Fri Apr 19, 2024, 1:27PM","34"
"Antoine Semenyo","BOU","F","mg","Reserve","Active","Fri Apr 19, 2024, 1:27PM","34"
"Marcus Rashford","MUN","F","ben","Reserve","Active","Fri Apr 19, 2024, 12:46PM","34"
"Emerson","WHU","D","ben","Active","Reserve","Fri Apr 19, 2024, 12:46PM","34"
"Jarrad Branthwaite","EVE","D","ben","Inj Res","Active","Fri Apr 19, 2024, 12:44PM","34"
"Nelson Semedo","WOL","D","sean","Active","Inj Res","Fri Apr 19, 2024, 8:04AM","34"
"Raheem Sterling","CHE","F","rafa","Inj Res","Reserve","Thu Apr 18, 2024, 11:35AM","34"
"Raheem Sterling","CHE","F","rafa","Reserve","Inj Res","Thu Apr 18, 2024, 11:35AM","34"
"Dan Burn","NEW","D","rafa","Active","Reserve","Thu Apr 18, 2024, 11:34AM","34"
"Jarrod Bowen","WHU","M","rafa","Reserve","Active","Thu Apr 18, 2024, 11:34AM","34"
"Tyrick Mitchell","CRY","D","rafa","Reserve","Active","Thu Apr 18, 2024, 11:33AM","34"
"Manuel Akanji","MCI","D","rafa","Active","Reserve","Thu Apr 18, 2024, 11:33AM","34"
"Chris Wood","NOT","F","sean","Active","Reserve","Tue Apr 16, 2024, 9:44PM","34"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Tue Apr 16, 2024, 9:44PM","34"
"Chris Wood","NOT","F","sean","Reserve","Active","Tue Apr 16, 2024, 10:47AM","34"
"Giovanni Reyna","NOT","M","sean","Active","Reserve","Tue Apr 16, 2024, 10:47AM","34"
"Chris Wood","NOT","F","sean","Active","Reserve","Tue Apr 16, 2024, 10:44AM","34"
"Micky van de Ven","TOT","D","sean","Reserve","Active","Tue Apr 16, 2024, 10:44AM","34"
"Adam Wharton","CRY","M","sean","Active","Reserve","Tue Apr 16, 2024, 10:41AM","35"
"Ryan Christie","BOU","M","sean","Active","Reserve","Tue Apr 16, 2024, 10:41AM","35"
"John McGinn","AVL","M","sean","Reserve","Active","Tue Apr 16, 2024, 10:41AM","35"
"Ross Barkley","CHE/LUT","M","sean","Reserve","Active","Tue Apr 16, 2024, 10:41AM","35"
"Giovanni Reyna","NOT","M","sean","Active","Reserve","Tue Apr 16, 2024, 10:40AM","35"
"Joel Ward","CRY","D","sean","Active","Reserve","Tue Apr 16, 2024, 10:40AM","35"
"Ruben Dias","MCI","D","sean","Reserve","Active","Tue Apr 16, 2024, 10:40AM","35"
"Chris Wood","NOT","F","sean","Active","Reserve","Tue Apr 16, 2024, 10:40AM","35"
"Tyrell Malacia","MUN","D","mg","Reserve","Active","Tue Apr 16, 2024, 9:56AM","34"
"Harry Maguire","MUN","D","mg","Active","Reserve","Tue Apr 16, 2024, 9:56AM","34"
"Harry Maguire","MUN","D","mg","Reserve","Active","Tue Apr 16, 2024, 9:55AM","34"
"Chris Mepham","BOU","D","mg","Active","Reserve","Tue Apr 16, 2024, 9:55AM","34"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Active","Reserve","Tue Apr 16, 2024, 9:55AM","34"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Tue Apr 16, 2024, 9:55AM","34"
"Harry Maguire","MUN","D","mg","Active","Reserve","Tue Apr 16, 2024, 9:55AM","34"
"Rayan Ait-Nouri","WOL","D","mg","Reserve","Active","Tue Apr 16, 2024, 9:55AM","34"
"Joel Ward","CRY","D","sean","Reserve","Active","Tue Apr 16, 2024, 8:05AM","34"
"Ruben Dias","MCI","D","sean","Active","Reserve","Tue Apr 16, 2024, 8:05AM","34"
"Giovanni Reyna","NOT","M","sean","Reserve","Active","Tue Apr 16, 2024, 8:02AM","34"
"Ryan Christie","BOU","M","sean","Reserve","Active","Tue Apr 16, 2024, 8:02AM","34"
"Vitaly Janelt","BRF","M","sean","Active","Reserve","Tue Apr 16, 2024, 8:02AM","34"
"Chris Wood","NOT","F","sean","Reserve","Active","Tue Apr 16, 2024, 8:02AM","34"
"Ross Barkley","CHE/LUT","M","sean","Active","Reserve","Tue Apr 16, 2024, 8:02AM","34"
"Oliver McBurnie","SHU","F","sean","Reserve","Active","Tue Apr 16, 2024, 8:02AM","34"
"Toti","WOL","D","tj","Reserve","Active","Tue Apr 16, 2024, 7:06AM","34"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Tue Apr 16, 2024, 7:06AM","34"
"Milos Kerkez","BOU","D","tj","Reserve","Active","Tue Apr 16, 2024, 7:05AM","34"
"Rodrigo Muniz","FUL","F","tj","Active","Reserve","Tue Apr 16, 2024, 7:05AM","34"
"James Maddison","TOT","M","aj","Active","Reserve","Mon Apr 15, 2024, 6:05PM","34"
"Pervis Estupinan","BHA","D","aj","Active","Reserve","Mon Apr 15, 2024, 6:05PM","34"
"Anthony Elanga","NOT","F","aj","Reserve","Active","Mon Apr 15, 2024, 6:05PM","34"
"Antonee Robinson","FUL","D","aj","Reserve","Active","Mon Apr 15, 2024, 6:05PM","34"
"Cristian Romero","TOT","D","aj","Active","Reserve","Mon Apr 15, 2024, 6:05PM","34"
"Douglas Luiz","AVL","M","aj","Reserve","Active","Mon Apr 15, 2024, 6:05PM","34"
"Anthony Elanga","NOT","F","aj","Active","Reserve","Mon Apr 15, 2024, 3:59PM","33"
"Pervis Estupinan","BHA","D","aj","Reserve","Active","Mon Apr 15, 2024, 3:59PM","33"
"Antoine Semenyo","BOU","F","mg","Active","Reserve","Mon Apr 15, 2024, 3:59PM","33"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Mon Apr 15, 2024, 3:59PM","33"
"Trent Alexander-Arnold","LIV","D","rafa","Reserve","Active","Mon Apr 15, 2024, 3:59PM","33"
"Jarrod Bowen","WHU","M","rafa","Active","Reserve","Mon Apr 15, 2024, 3:59PM","33"
"Hwang Hee-Chan","WOL","F","ben","Inj Res","Active","Mon Apr 15, 2024, 3:44PM","34"
"Guglielmo Vicario","TOT","G","ben","Active","Reserve","Mon Apr 15, 2024, 3:44PM","34"
"Jarrad Branthwaite","EVE","D","ben","Active","Inj Res","Mon Apr 15, 2024, 3:44PM","34"
"Lewis Cook","BOU","M","ben","Reserve","Active","Mon Apr 15, 2024, 3:44PM","34"
"Timo Werner","CHE/TOT","F","ben","Active","Reserve","Mon Apr 15, 2024, 3:44PM","34"
"David Raya","BRF/ARS","G","ben","Reserve","Active","Mon Apr 15, 2024, 3:44PM","34"
"Jarrod Bowen","WHU","M","rafa","Active","Inj Res","Mon Apr 15, 2024, 2:53PM","34"
"Trent Alexander-Arnold","LIV","D","rafa","Reserve","Active","Mon Apr 15, 2024, 2:53PM","34"
"Dejan Kulusevski","TOT","M","sean","Active","Reserve","Mon Apr 15, 2024, 1:06PM","35"
"Dejan Kulusevski","TOT","M","sean","Reserve","Active","Mon Apr 15, 2024, 1:05PM","34"
"Jacob Bruun Larsen","BUR","F","sean","Reserve","Active","Mon Apr 15, 2024, 1:05PM","34"
"Chris Wood","NOT","F","sean","Active","Reserve","Mon Apr 15, 2024, 1:05PM","34"
"John McGinn","AVL","M","sean","Active","Reserve","Mon Apr 15, 2024, 1:05PM","34"
"Ivan Toney","BRF","F","vu","Reserve","Active","Mon Apr 15, 2024, 6:38AM","34"
"Mykhailo Mudryk","CHE","M","vu","Active","Reserve","Mon Apr 15, 2024, 6:38AM","34"
"Joao Pedro","BHA","F","vu","Active","Reserve","Mon Apr 15, 2024, 6:37AM","34"
"Brennan Johnson","NOT/TOT","F","vu","Reserve","Active","Mon Apr 15, 2024, 6:37AM","34"
"Craig Dawson","WOL","D","vu","Reserve","Active","Mon Apr 15, 2024, 6:37AM","34"
"Gustavo Hamer","SHU","M","vu","Reserve","Active","Mon Apr 15, 2024, 6:37AM","34"
"Malo Gusto","CHE","D","vu","Active","Reserve","Mon Apr 15, 2024, 6:37AM","34"
"James Ward-Prowse","SOU/WHU","M","vu","Active","Reserve","Mon Apr 15, 2024, 6:37AM","34"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Mon Apr 15, 2024, 12:04AM","35"
"Micky van de Ven","TOT","D","sean","Reserve","Active","Mon Apr 15, 2024, 12:04AM","35"
"Chris Wood","NOT","F","sean","Active","Reserve","Mon Apr 15, 2024, 12:04AM","35"
"Vitaly Janelt","BRF","M","sean","Active","Reserve","Mon Apr 15, 2024, 12:04AM","35"
"Mohammed Kudus","WHU","M","tj","Active","Reserve","Sun Apr 14, 2024, 11:45PM","34"
"Ben Godfrey","EVE","D","tj","Active","Reserve","Sun Apr 14, 2024, 10:09PM","34"
"Kieran Trippier","NEW","D","tj","Reserve","Active","Sun Apr 14, 2024, 10:09PM","34"
"Jeremy Doku","MCI","F","tj","Active","Reserve","Sun Apr 14, 2024, 10:08PM","34"
"Rasmus Hojlund","MUN","F","tj","Reserve","Active","Sun Apr 14, 2024, 10:08PM","34"
"Kieran Trippier","NEW","D","tj","Inj Res","Reserve","Sun Apr 14, 2024, 9:58PM","34"
"Enzo Fernandez","CHE","M","tj","Reserve","Inj Res","Sun Apr 14, 2024, 9:58PM","34"
"Conor Bradley","LIV","D","tj","Active","Reserve","Sun Apr 14, 2024, 9:51PM","34"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Sun Apr 14, 2024, 9:51PM","34"
"Alisson","LIV","G","sean","Inj Res","Active","Sun Apr 14, 2024, 9:50PM","34"
"Julian Alvarez","MCI","F","sean","Active","Reserve","Sun Apr 14, 2024, 5:46AM","34"
"Adam Wharton","CRY","M","sean","Reserve","Active","Sun Apr 14, 2024, 5:45AM","33"
